id,main_author,publish_time,price
追风筝的人,[美] 卡勒德·胡赛尼,2006-5,29.00元
解忧杂货店,[日] 东野圭吾,2014-5,39.50元
小王子,[法] 圣埃克苏佩里,2003-8,22.00元
白夜行,[日] 东野圭吾,2008-9,29.80元
围城,钱锺书,1991-2,19.00
三体,刘慈欣,2008-1,23.00
嫌疑人X的献身,[日] 东野圭吾,2008-9,28.00
挪威的森林,[日] 村上春树,2001-2,18.80元
活着,余华,1998-5,12.00元
红楼梦,[清] 曹雪芹 著,1996-12,59.70元
百年孤独,[哥伦比亚] 加西亚·马尔克斯,2011-6,39.50元
看见,柴静,2013-1-1,39.80元
不能承受的生命之轻,[捷克] 米兰·昆德拉,2003-7,23.00元
达·芬奇密码,[美] 丹·布朗,2004-2,28.00元
平凡的世界（全三部）,路遥,2005-1,64.00元
三体Ⅱ,刘慈欣,2008-5,32.00
三体Ⅲ,刘慈欣,2010-11,38.00元
简爱（英文全本）,[英] 夏洛蒂·勃朗特,2003-11,18.00元
哈利·波特与魔法石,[英] J. K. 罗琳,2000-9,19.50元
天才在左 疯子在右,高铭,2010-2,29.80元
我们仨,杨绛,2003-7,18.80元
傲慢与偏见,[英] 奥斯丁,1993-7,13.00元
送你一颗子弹,刘瑜,2010-1,25.00元
明朝那些事儿（壹）,当年明月,2006-9,24.80
飘,[美国] 玛格丽特·米切尔,2000-9,40.00元
倾城之恋,花城出版社,1997-3-1,11.00
目送,龙应台,2009-10,39.00元
月亮和六便士,[英] 毛姆,2006-8,15.00元
恶意,[日] 东野圭吾,2009-6,18.00
情人,[法] 玛格丽特·杜拉斯,2005-7,20.00元
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,2012-9-1,39.50元
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳,2000-9,26.50元
狼图腾,姜戎,2004-4,32.00元
边城,沈从文,2002-4,12.00元
哈利·波特与火焰杯,[英] J. K. 罗琳,2001-5,39.80元
1Q84 BOOK 1,[日] 村上春树,2010-5,36.00元
哈利·波特与密室,[英] J. K. 罗琳,2000-9,22.00元
许三观卖血记,余华,1998-9,16.80元
撒哈拉的故事,三毛,1976,160 TWD
穆斯林的葬礼,霍达,1988-12-1,32.00
万历十五年,[美] 黄仁宇,1997-5,18.00元
莲花,安妮宝贝,2006-3,25.00元
向左走·向右走,幾米,2002-8,16.00元
盗墓笔记,南派三叔,2007-1,26.80元
哈利·波特与混血王子,[英] J. K. 罗琳,2005-10,58.00元
窗边的小豆豆,[日] 黑柳彻子 著,2003-1,20.00元
黄金时代,王小波,1999-3,19.00元
苏菲的世界,（挪威）乔斯坦·贾德,1999-04,26.80元
三国演义（全二册）,[明] 罗贯中,1998-05,39.50元
天龙八部,金庸,1994-5,96.0
哈利·波特与凤凰社,[英] J. K. 罗琳,2003-9,59.00元
悟空传,今何在,2001-4,14.80元
牧羊少年奇幻之旅,[巴西]保罗·柯艾略,2009-3-1,25.00元
海边的卡夫卡,[日] 村上春树,2003-4,25.00元
灿烂千阳,[美] 卡勒德·胡赛尼,2007-9,28.00元
呼啸山庄,（英）勃朗特,1999-01-01,27.30元
老人与海,海明威,1999-10,8.20元
亲爱的安德烈,龙应台,2008-12,26.00
人类简史,[以色列]尤瓦尔·赫拉利,2014-11-1,CNY 68.00
兄弟（上）,余华,2005-8,16.00元
1984,[英] 乔治·奥威尔,2010-4-1,28.00
基督山伯爵,大仲马,1991-12-1,43.90元
少有人走的路,[美] M·斯科特·派克,2007-1,26.00元
人间失格,太宰治,2009年9月,16.00元
笑傲江湖（全四册）,金庸,1994-5,76.80元
无声告白,[美] 伍绮诗,2015-7,35.00元
民主的细节,刘瑜,2009-6,25.00
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,53.00元,68.00元
遇见未知的自己,张德芬,2008-1,29.00
茶花女,小仲马,1997-3,9.00元
情书,[日] 岩井俊二,2004-7,18.00元
白鹿原,陈忠实,1997-12,28.00元
一个陌生女人的来信,[奥] 斯台芬·茨威格,2007-7,20.00元
沉默的大多数,王小波,1997-10,27.00元
神雕侠侣,金庸,1994-5,76.80元
id,main_author,publish_time,price
追风筝的人,[美] 卡勒德·胡赛尼,2006-5,29.00元
解忧杂货店,[日] 东野圭吾,2014-5,39.50元
小王子,[法] 圣埃克苏佩里,2003-8,22.00元
白夜行,[日] 东野圭吾,2008-9,29.80元
围城,钱锺书,1991-2,19.00
三体,刘慈欣,2008-1,23.00
嫌疑人X的献身,[日] 东野圭吾,2008-9,28.00
挪威的森林,[日] 村上春树,2001-2,18.80元
活着,余华,1998-5,12.00元
红楼梦,[清] 曹雪芹 著,1996-12,59.70元
百年孤独,[哥伦比亚] 加西亚·马尔克斯,2011-6,39.50元
看见,柴静,2013-1-1,39.80元
不能承受的生命之轻,[捷克] 米兰·昆德拉,2003-7,23.00元
达·芬奇密码,[美] 丹·布朗,2004-2,28.00元
平凡的世界（全三部）,路遥,2005-1,64.00元
三体Ⅱ,刘慈欣,2008-5,32.00
三体Ⅲ,刘慈欣,2010-11,38.00元
简爱（英文全本）,[英] 夏洛蒂·勃朗特,2003-11,18.00元
哈利·波特与魔法石,[英] J. K. 罗琳,2000-9,19.50元
天才在左 疯子在右,高铭,2010-2,29.80元
我们仨,杨绛,2003-7,18.80元
傲慢与偏见,[英] 奥斯丁,1993-7,13.00元
送你一颗子弹,刘瑜,2010-1,25.00元
明朝那些事儿（壹）,当年明月,2006-9,24.80
飘,[美国] 玛格丽特·米切尔,2000-9,40.00元
倾城之恋,花城出版社,1997-3-1,11.00
目送,龙应台,2009-10,39.00元
月亮和六便士,[英] 毛姆,2006-8,15.00元
恶意,[日] 东野圭吾,2009-6,18.00
情人,[法] 玛格丽特·杜拉斯,2005-7,20.00元
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,2012-9-1,39.50元
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳,2000-9,26.50元
狼图腾,姜戎,2004-4,32.00元
边城,沈从文,2002-4,12.00元
哈利·波特与火焰杯,[英] J. K. 罗琳,2001-5,39.80元
1Q84 BOOK 1,[日] 村上春树,2010-5,36.00元
哈利·波特与密室,[英] J. K. 罗琳,2000-9,22.00元
许三观卖血记,余华,1998-9,16.80元
撒哈拉的故事,三毛,1976,160 TWD
穆斯林的葬礼,霍达,1988-12-1,32.00
万历十五年,[美] 黄仁宇,1997-5,18.00元
莲花,安妮宝贝,2006-3,25.00元
向左走·向右走,幾米,2002-8,16.00元
盗墓笔记,南派三叔,2007-1,26.80元
哈利·波特与混血王子,[英] J. K. 罗琳,2005-10,58.00元
窗边的小豆豆,[日] 黑柳彻子 著,2003-1,20.00元
黄金时代,王小波,1999-3,19.00元
苏菲的世界,（挪威）乔斯坦·贾德,1999-04,26.80元
三国演义（全二册）,[明] 罗贯中,1998-05,39.50元
天龙八部,金庸,1994-5,96.0
哈利·波特与凤凰社,[英] J. K. 罗琳,2003-9,59.00元
悟空传,今何在,2001-4,14.80元
牧羊少年奇幻之旅,[巴西]保罗·柯艾略,2009-3-1,25.00元
海边的卡夫卡,[日] 村上春树,2003-4,25.00元
灿烂千阳,[美] 卡勒德·胡赛尼,2007-9,28.00元
呼啸山庄,（英）勃朗特,1999-01-01,27.30元
老人与海,海明威,1999-10,8.20元
亲爱的安德烈,龙应台,2008-12,26.00
人类简史,[以色列]尤瓦尔·赫拉利,2014-11-1,CNY 68.00
兄弟（上）,余华,2005-8,16.00元
1984,[英] 乔治·奥威尔,2010-4-1,28.00
基督山伯爵,大仲马,1991-12-1,43.90元
少有人走的路,[美] M·斯科特·派克,2007-1,26.00元
人间失格,太宰治,2009年9月,16.00元
笑傲江湖（全四册）,金庸,1994-5,76.80元
无声告白,[美] 伍绮诗,2015-7,35.00元
民主的细节,刘瑜,2009-6,25.00
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,53.00元,68.00元
遇见未知的自己,张德芬,2008-1,29.00
茶花女,小仲马,1997-3,9.00元
情书,[日] 岩井俊二,2004-7,18.00元
白鹿原,陈忠实,1997-12,28.00元
一个陌生女人的来信,[奥] 斯台芬·茨威格,2007-7,20.00元
沉默的大多数,王小波,1997-10,27.00元
神雕侠侣,金庸,1994-5,76.80元
