address,longitude,latitude
黑龙江,126.661669,45.742347
河北,114.468664,38.037057
安徽,117.284922,31.861184
河北,114.468664,38.037057
重庆,106.551556,29.563009
辽宁,123.429440,41.835441
四川,104.075931,30.651651
黑龙江,126.661669,45.742347
北京,116.407526,39.904030
广东,113.266530,23.132191
四川,104.075931,30.651651
黑龙江,126.661669,45.742347
广东,113.266530,23.132191
广东,113.266530,23.132191
江西,115.909228,28.675696
湖北,114.341861,30.546498
山东,120.395966,36.070892
安徽,117.284922,31.861184
贵州,106.707410,26.598194
湖南,112.983810,28.112444
黑龙江,126.661669,45.742347
北京,116.407526,39.904030
安徽,117.284922,31.861184
山东,120.395966,36.070892
湖南,112.983810,28.112444
四川,104.075931,30.651651
天津,117.200983,39.084158
浙江,120.152791,30.267446
山东,120.395966,36.070892
河北,114.468664,38.037057
广东,113.266530,23.132191
黑龙江,126.661669,45.742347
陕西,108.954239,34.265472
湖北,114.341861,30.546498
陕西,108.954239,34.265472
内蒙古,111.765617,40.817498
广东,113.266530,23.132191
新疆,87.627704,43.793026
辽宁,123.429440,41.835441
广东,113.266530,23.132191
山东,120.395966,36.070892
陕西,108.954239,34.265472
宁夏,106.258754,38.471317
江苏,118.763232,32.061707
山东,120.395966,36.070892
贵州,106.707410,26.598194
山东,120.395966,36.070892
湖北,114.341861,30.546498
山东,120.395966,36.070892
辽宁,123.429440,41.835441
湖南,112.983810,28.112444
